commit,price,shop,title
5000+,2648.00,靓机优品二手手机专营店,【二手95新】Apple iPhone 11 二手苹果11 二手手机 移动联通电信4G通  双卡双待 白色 64G 全网通
500+,2239.00,盛邦二手手机专营店,拍拍【二手95新】Apple iPhone X 二手苹果X 二手手机 移动联通电信4G手机 银白色（全新品牌电池100%电池效率） 256G全网通『赠20wPD快充』
5000+,4799.00,京粉二手手机旗舰店,拍拍【二手99新】Apple iPhone 12(A2404)苹果12国行公开版5G双卡双待二手手机 白色 128G全网通『赠20W PD闪充』
200+,6799.00,零一店二手商品专营店,拍拍【二手9成新】Apple iPhone12Pro Max苹果12 pro max支持移动联通电信 金色 512GB 全网通
2000+,1499.00,晨辉銮二手手机专营店,拍拍【二手9成新】Apple iPhone 8Plus 二手苹果8plus手机 深空灰 64G全网通
1000+,11999.00,久汇通手机旗舰店,Apple 苹果iPhone13 Pro Max 苹果13ProMax 5G手机 全网通双卡双待 512GB 银色 官方标配+(苹果原装 20w闪充 套装）
1万+,1129.00,拍拍严选官方旗舰店,Apple iPhone 8 苹果8二手手机 金色 64G
2000+,759.00,拍拍严选官方旗舰店,拍拍Apple iPhone 6S 苹果6s二手手机 银色 64G
1000+,645.00,考拉严选二手商品专营店,拍拍【二手9成新】苹果6s Apple iPhone 6s 苹果 6s 二手苹果 国行全网通 金色 64G
200+,2099.00,万事达二手手机专营店,拍拍【二手95新】Apple iPhoneX 二手苹果X 二手手机 全面屏移动联通电信4G全网通手机 深空灰 256G全新品牌电池(100%电池效率)
2000+,3899.00,搜酷手机专营店,Apple 苹果 iPhone XR 手机 双卡双待 全面屏 全新 可选12期分期 白色 128G 标准套装
500+,2169.60,爱乐优二手商品专营店,拍拍【二手99新】Apple \/苹果 iPhone XR 苹果XR 二手手机 全网通4G手机 原装国行 黑色 95新128G
200+,1419.00,典匠二手手机专营店,【已验机】 Apple iPhone SE/SE 2 苹果se2 大陆国行  二手苹果手机 全网通 【苹果SE2】白色 64GB
2000+,3279.00,双果数码二手手机专营店,拍拍【二手99新】Apple iPhoneXS Max 苹果xsmax国行原装 二手手机 金色 256G全网通
1000+,6199.00,双果数码二手手机专营店,拍拍【二手9成新】Apple iPhone12ProMax 苹果12promax 国行二手5G手机 海蓝色 128G全网通
1000+,2099.00,双果数码二手手机专营店,拍拍【二手99新】Apple iPhoneXS 苹果XS国行原装 二手手机 金色 64G全网通
1000+,2639.00,青橙严选二手手机专营店,拍拍【二手95成新】Apple iphone 11 苹果11 二手手机 苹果手机 大陆国行 全网通 绿色 64G全网通
1万+,1688.00,缘翼优品二手手机专营店,拍拍【二手9成新】Apple 苹果x iPhonex 苹果二手手机 手机 灰色 64G 全新品牌电池（电池效率100%）
5万+,2799.00,拍拍严选官方旗舰店,苹果 Apple  iPhone 11 苹果11 苹果二手手机 大陆国行备用机 紫色 64G
2,4649.00,爱相随二手手机专营店,拍拍【二手99新】Apple iPhone13mini 苹果13mini 二手苹果手机国行原装 官方在保 粉色 128G 全网通
8,6499.00,京粉二手手机旗舰店,拍拍【二手95新】Apple iPhone12 Pro Max(A2412)苹果12ProMax二手手机 石墨色 128G全网通『赠20W PD闪充』
2万+,5999.00,中国移动终端京东自营旗舰店,Apple iPhone 13 (A2634) 128GB 星光色 支持移动联通电信5G 双卡双待手机【赠卡首月免月租】
200+,1698.00,考拉严选二手商品专营店,拍拍【二手95新】苹果x二手手机Apple iPhone X 国行全网通4G 白色 64G
0,6799.00,双果数码二手手机专营店,拍拍【准新机】Apple iPhone12Pro 苹果12 Pro二手苹果12pro 国行5G手机 海蓝色 256G全网通
1000+,8088.00,千瑞达手机旗舰店,苹果Apple iphone 13 pro (A2639) 5G手机全网通 双卡双待 远峰蓝色 128GB
500+,2299.00,好采机二手手机旗舰店,拍拍【二手99新】Apple iPhoneX 苹果X 二手手机 银色 256G全网通
2000+,2799.00,零一店二手商品专营店,拍拍【准新未激活】官换机Apple iPhone XR 苹果xr二手手机双卡双待 黑色 64G  全网通
500+,2999.00,零一店二手商品专营店,拍拍【准新未激活】官换机Apple iPhone x XS苹果xs手机国行二手手机资源机 银色 64G全网通 【准新未激活】
200+,819.00,京粉二手手机旗舰店,拍拍【二手9成新】AppleiPhone7(A1660)苹果7游戏二手手机 黑色 128G全网通『赠苹果充电器』
0,5799.00,在一起二手手机专营店,拍拍【二手8成新】苹果12ProMax Apple iPhone 12 ProMax 二手苹果手机 海蓝色 128G 全网通
2000+,10388.00,酷族数码旗舰店,Apple/苹果 iPhone 13 Pro Max 全网通5G手机【苹果12店内可选】 远峰蓝色 全网通 256G 【官方标配】
1000+,625.00,京致二手手机专营店,拍拍【二手9成新】Apple iPhone 苹果6s \/ 6sPlus 苹果 二手手机 备用机 全网通 玫瑰金 6s 64G【电池100%】
2000+,2699.00,首昕二手手机专营店,拍拍【二手95新】Apple iPhone 11 苹果11双卡双待二手手机苹果国行全网通二手手机苹果11 黄色【赠：5件套】 64G
100+,1669.00,在一起二手手机专营店,拍拍【二手95新】苹果X二手手机Apple iPhone X 二手苹果X 面容识别 国行4G全网通 深空灰 64G 全网通
89,4849.00,拍拍严选官方旗舰店,拍拍【资源机】苹果 iPhone 12 手机 拍拍严选 苹果手机 蓝色 256GB
500+,6799.00,在一起二手手机专营店,拍拍【准新机】Apple iPhone12 Pro Max(A2412)苹果12ProMax二手手机 海蓝色 128G 全网通(电池健康100%)
1000+,8999.00,Apple古霖专卖店,Apple iPhone 13 Pro Max (A2644)  支持移动联通电信5G 双卡双待手机 远峰蓝色 128GB
5000+,8779.00,疆界互联旗舰店,【可选24期免息】Apple 苹果 iphone 12 Pro Max手机 海蓝色 256GB
